x[m];y[m];operacao;area.total[m2];area.mato[m2];ang.abs[deg];ang.proa[deg];dist[m];rtl[m]
1.60;0.60;p;17.48;0.15;-92.65;0.00;17.32;1.71
0.80;17.90;y;0.79;0.14;-92.65;-8.66;0.00;17.92
0.80;17.90;p;0.61;0.01;-101.31;0.00;0.51;17.92
0.70;18.40;y;0.79;0.00;-101.31;40.96;0.00;18.41
0.70;18.40;p;8.45;0.23;-60.35;0.00;7.48;18.41
4.40;24.90;y;0.79;0.26;-60.35;-114.21;0.00;25.29
4.40;24.90;p;2.22;0.72;-174.56;0.00;2.11;25.29
2.30;25.10;y;0.79;0.40;-174.56;62.76;0.00;25.21
2.30;25.10;p;5.14;0.25;-111.80;0.00;4.85;25.21
0.50;29.60;y;0.72;0.04;-111.80;48.37;0.00;29.60
0.50;29.60;p;0.88;0.19;-63.43;0.00;0.67;29.60
0.80;30.20;y;0.79;0.25;-63.43;83.99;0.00;30.21
0.80;30.20;p;0.99;0.06;20.56;0.00;0.85;30.21
1.60;29.90;y;0.79;0.01;20.56;-110.56;0.00;29.94
1.60;29.90;p;0.22;0.00;-90.00;0.00;0.20;29.94
1.60;30.10;y;0.79;0.00;-90.00;13.04;0.00;30.14
1.60;30.10;p;19.03;0.52;-76.96;0.00;18.17;30.14
5.70;47.80;y;0.79;0.28;-76.96;-44.01;0.00;48.14
5.70;47.80;p;4.00;0.22;-120.96;0.00;3.50;48.14
3.90;50.80;y;0.79;0.02;-120.96;-88.78;0.00;50.95
3.90;50.80;p;1.00;0.22;150.26;0.00;0.81;50.95
3.20;50.40;y;0.79;0.02;150.26;119.74;0.00;50.50
3.20;50.40;p;0.67;0.00;-90.00;0.00;0.50;50.50
3.20;50.90;y;0.79;0.02;-90.00;-26.57;0.00;51.00
3.20;50.90;p;1.14;0.07;-116.57;0.00;0.89;51.00
2.80;51.70;y;0.79;0.06;-116.57;30.86;0.00;51.78
2.80;51.70;p;17.53;0.52;-85.70;0.00;17.35;51.78
4.10;69.00;y;0.79;0.39;-85.70;39.20;0.00;69.12
4.10;69.00;p;5.79;0.70;-46.51;0.00;5.38;69.12
7.80;72.90;y;0.79;0.36;-46.51;-37.42;0.00;73.32
7.80;72.90;p;4.85;0.67;-83.93;0.00;4.73;73.32
8.30;77.60;y;0.79;0.30;-83.93;-18.60;0.00;78.04
8.30;77.60;p;12.58;0.28;-102.53;0.00;11.99;78.04
5.70;89.30;y;0.79;0.06;-102.53;-30.35;0.00;89.48
5.70;89.30;p;8.24;0.17;-132.88;0.00;7.64;89.48
0.50;94.90;y;0.72;0.12;-132.88;134.47;0.00;94.90
0.50;94.90;p;7.32;0.15;1.59;0.00;7.20;94.90
7.70;94.70;y;0.79;0.14;1.59;43.41;0.00;95.01
7.70;94.70;p;0.83;0.03;45.00;0.00;0.71;95.01
8.20;94.20;y;0.79;0.04;45.00;-61.70;0.00;94.56
8.20;94.20;p;1.19;0.22;-16.70;0.00;1.04;94.56
9.20;94.50;y;0.79;0.02;-16.70;112.41;0.00;94.95
9.20;94.50;p;1.11;0.48;95.71;0.00;1.00;94.95
9.10;93.50;y;0.79;0.32;95.71;-14.92;0.00;93.94
9.10;93.50;p;3.86;0.83;80.79;0.00;3.75;93.94
9.70;89.80;y;0.79;0.36;80.79;-76.89;0.00;90.32
9.70;89.80;p;4.53;0.15;3.90;0.00;4.41;90.32
14.10;89.50;y;0.79;0.02;3.90;-84.44;0.00;90.60
14.10;89.50;p;0.71;0.11;-80.54;0.00;0.61;90.60
14.20;90.10;y;0.79;0.08;-80.54;125.54;0.00;91.21
14.20;90.10;p;0.83;0.09;45.00;0.00;0.71;91.21
14.70;89.60;y;0.79;0.12;45.00;-120.07;0.00;90.80
14.70;89.60;p;1.72;0.63;-75.07;0.00;1.55;90.80
15.10;91.10;y;0.79;0.32;-75.07;14.50;0.00;92.34
15.10;91.10;p;5.10;0.39;-60.57;0.00;4.48;92.34
17.30;95.00;y;0.79;0.05;-60.57;49.26;0.00;96.56
17.30;95.00;p;0.61;0.02;-11.31;0.00;0.51;96.56
17.80;95.10;y;0.79;0.07;-11.31;76.97;0.00;96.75
17.80;95.10;p;5.26;0.62;65.66;0.00;4.61;96.75
19.70;90.90;y;0.79;0.28;65.66;-92.88;0.00;93.01
19.70;90.90;p;4.50;0.23;-27.22;0.00;3.94;93.01
23.20;92.70;y;0.79;0.07;-27.22;65.30;0.00;95.56
23.20;92.70;p;5.07;0.56;38.09;0.00;4.70;95.56
26.90;89.80;y;0.79;0.37;38.09;16.23;0.00;93.74
26.90;89.80;p;5.40;0.31;54.32;0.00;4.80;93.74
29.70;85.90;y;0.79;0.11;54.32;-26.50;0.00;90.89
29.70;85.90;p;4.65;0.26;27.82;0.00;4.07;90.89
33.30;84.00;y;0.79;0.22;27.82;-9.39;0.00;90.36
33.30;84.00;p;1.09;0.16;18.43;0.00;0.95;90.36
34.20;83.70;y;0.79;0.14;18.43;87.51;0.00;90.42
34.20;83.70;p;0.86;0.01;105.95;0.00;0.73;90.42
34.00;83.00;y;0.79;0.00;105.95;-11.24;0.00;89.69
34.00;83.00;p;8.67;0.11;94.71;0.00;8.53;89.69
33.30;74.50;y;0.79;0.02;94.71;76.76;0.00;81.60
33.30;74.50;p;2.13;0.47;171.47;0.00;2.02;81.60
31.30;74.20;y;0.79;0.00;171.47;-134.60;0.00;80.53
31.30;74.20;p;0.59;0.00;36.87;0.00;0.50;80.53
31.70;73.90;y;0.79;0.11;36.87;34.70;0.00;80.41
31.70;73.90;p;0.76;0.12;71.57;0.00;0.63;80.41
31.90;73.30;y;0.79;0.03;71.57;-71.57;0.00;79.94
31.90;73.30;p;0.22;0.00;-0.00;0.00;0.10;79.94
32.00;73.30;y;0.79;0.00;-0.00;-26.57;0.00;79.98
