x[m];y[m];operacao;area.total[m2];area.mato[m2];ang.abs[deg];ang.proa[deg];dist[m];rtl[m]
62.80;61.80;y;0.16;0.07;-128.66;-41.31;0.00;88.11
62.80;61.80;p;9.39;0.05;-169.97;0.00;9.19;88.11
53.75;63.40;p;9.39;0.71;-169.97;0.00;9.19;83.12
44.70;65.00;y;0.23;0.15;-169.97;79.97;0.00;78.89
44.70;65.00;p;1.76;0.74;-90.00;0.00;1.40;78.89
44.70;66.40;y;0.12;0.06;-90.00;-38.52;0.00;80.04
44.70;66.40;p;6.73;0.70;-128.52;0.00;6.26;80.04
40.80;71.30;y;0.16;0.10;-128.52;-40.17;0.00;82.15
40.80;71.30;p;0.61;0.36;-168.69;0.00;0.51;82.15
40.30;71.40;y;0.14;0.01;-168.69;45.00;0.00;81.99
40.30;71.40;p;1.70;0.08;-123.69;0.00;1.44;81.99
39.50;72.60;y;0.25;0.05;-123.69;-91.85;0.00;82.65
39.50;72.60;p;1.05;0.12;144.46;0.00;0.86;82.65
38.80;72.10;y;0.05;0.01;144.46;4.57;0.00;81.88
38.80;72.10;p;0.75;0.06;149.04;0.00;0.58;81.88
38.30;71.80;y;0.16;0.01;149.04;-45.80;0.00;81.38
38.30;71.80;p;1.92;1.10;103.24;0.00;1.75;81.38
